model_stage,epoch,train_loss,val_loss,best_val_loss
evaluation_model,1,0.0075901056536369855,0.002680801262613386,
evaluation_model,2,0.0035138644657477184,0.001669227190884865,0.002680801262613386
evaluation_model,3,0.002548715651587204,0.0017994425983892547,0.001669227190884865
evaluation_model,4,0.002163094778855642,0.0027108503660808005,0.001669227190884865
evaluation_model,5,0.0020614455247090924,0.002702304550136129,0.001669227190884865
evaluation_model,6,0.0018863857818629455,0.003775948154119154,0.001669227190884865
evaluation_model,7,0.0016998618159926049,0.002121170691680163,0.001669227190884865
evaluation_model,8,0.001549943126048203,0.0018245079942668478,0.001669227190884865
evaluation_model,9,0.0014761324747707004,0.002775604849577778,0.001669227190884865
evaluation_model,10,0.0014175344301663615,0.0018107487315622468,0.001669227190884865
evaluation_model,11,0.0013329338851488298,0.0028343223837307757,0.001669227190884865
evaluation_model,12,0.0012662107970013662,0.0035341744207673604,0.001669227190884865
evaluation_model,13,0.0012282130170475553,0.0022105720515052476,0.001669227190884865
evaluation_model,14,0.0012233814944651116,0.0015514589807329078,0.001669227190884865
evaluation_model,15,0.001161036786571559,0.002407005289569497,0.0015514589807329078
evaluation_model,16,0.0011647440324951378,0.0021176720943508875,0.0015514589807329078
evaluation_model,17,0.0012405797390750161,0.0021071412678187094,0.0015514589807329078
evaluation_model,18,0.001162542644629462,0.0018540933572997649,0.0015514589807329078
evaluation_model,19,0.0010532245721185096,0.0021134739379502004,0.0015514589807329078
evaluation_model,20,0.0010387732526632371,0.0015681905788369477,0.0015514589807329078
evaluation_model,21,0.0009789807178700964,0.0014471528217351686,0.0015514589807329078
evaluation_model,22,0.000992021329390506,0.0018867455461683373,0.0014471528217351686
evaluation_model,23,0.0010089574778383529,0.001658913465992858,0.0014471528217351686
evaluation_model,24,0.0009347282186219538,0.0019006417262264425,0.0014471528217351686
evaluation_model,25,0.0009053410117135003,0.001975703486500101,0.0014471528217351686
evaluation_model,26,0.0009167442719141642,0.0018683489373264213,0.0014471528217351686
evaluation_model,27,0.0008993894400730453,0.002331933498175608,0.0014471528217351686
evaluation_model,28,0.0008647531784070587,0.0021542965615582135,0.0014471528217351686
evaluation_model,29,0.0008722274408986171,0.001724907733862185,0.0014471528217351686
evaluation_model,30,0.0008542959069557212,0.0018023958028708068,0.0014471528217351686
evaluation_model,31,0.0008102770855960747,0.001864331651530746,0.0014471528217351686
evaluation_model,32,0.0008025944677043568,0.001673785038292408,0.0014471528217351686
evaluation_model,33,0.0007917288824467471,0.0019835832451159754,0.0014471528217351686
evaluation_model,34,0.0007975457960532771,0.001871465136193567,0.0014471528217351686
evaluation_model,35,0.0008057621264554284,0.0016699651864150332,0.0014471528217351686
evaluation_model,36,0.000728044921911701,0.002042700976340307,0.0014471528217351686
forecast_model,1,0.010168937440695507,0.0018982365404048727,
forecast_model,2,0.0028031612081187113,0.0013682145088548875,0.0018982365404048727
forecast_model,3,0.0021884573457230413,0.0013549687994074905,0.0013682145088548875
forecast_model,4,0.0018280630365812352,0.001101615799901386,0.0013549687994074905
forecast_model,5,0.0016983520838298968,0.001105178923656543,0.001101615799901386
forecast_model,6,0.0015421169244551232,0.0009865796600934118,0.001101615799901386
forecast_model,7,0.00147806802831058,0.00098098293852268,0.0009865796600934118
forecast_model,8,0.0014214444772473404,0.0009063308793378787,0.00098098293852268
forecast_model,9,0.0013074589028422322,0.0008568561622976429,0.0009063308793378787
forecast_model,10,0.001318455588937338,0.00088556520252799,0.0008568561622976429
forecast_model,11,0.0012322290484527393,0.0008136100497924619,0.0008568561622976429
forecast_model,12,0.001196649856865406,0.0008179307882932739,0.0008136100497924619
forecast_model,13,0.0011293779060776745,0.0007268948021293101,0.0008136100497924619
forecast_model,14,0.0010846534394659102,0.0007078813764059709,0.0007268948021293101
forecast_model,15,0.001075291439026062,0.0006673319763245268,0.0007078813764059709
forecast_model,16,0.000996086367272905,0.0006776373096120855,0.0006673319763245268
forecast_model,17,0.0009916797429988427,0.0006386127206496894,0.0006673319763245268
forecast_model,18,0.0009443832262020026,0.0005741809792299238,0.0006386127206496894
forecast_model,19,0.0009379311048957918,0.0005548560293391347,0.0005741809792299238
forecast_model,20,0.000908512675336429,0.0005806522223994964,0.0005548560293391347
forecast_model,21,0.0008567781703147505,0.0005382618692237884,0.0005548560293391347
forecast_model,22,0.0008293756167404353,0.000524321241149058,0.0005382618692237884
forecast_model,23,0.0008457623039638358,0.0004994957028732946,0.000524321241149058
forecast_model,24,0.0008217718867984201,0.0005324226027975479,0.0004994957028732946
forecast_model,25,0.0007804343693091401,0.0004562060769078218,0.0004994957028732946
forecast_model,26,0.000778537178744695,0.00047081715375598933,0.0004562060769078218
forecast_model,27,0.0007628935405851474,0.00046128914174106385,0.0004562060769078218
forecast_model,28,0.0007546476188248822,0.00045361635663236183,0.0004562060769078218
forecast_model,29,0.0007203549861774913,0.00039674934750008915,0.00045361635663236183
forecast_model,30,0.0007270362860124026,0.0004684906420556621,0.00039674934750008915
forecast_model,31,0.0007413530190076146,0.00036640358545506996,0.00039674934750008915
forecast_model,32,0.0006890312169811555,0.00041191102678163186,0.00036640358545506996
forecast_model,33,0.0006840548195343997,0.0004213406290445063,0.00036640358545506996
forecast_model,34,0.0006327160476108215,0.0003391563239145196,0.00036640358545506996
forecast_model,35,0.0006139277314235058,0.0003366922998490433,0.0003391563239145196
forecast_model,36,0.0006158326685960804,0.0003624788045676218,0.0003366922998490433
forecast_model,37,0.0006063154042099736,0.00032273627584800124,0.0003366922998490433
forecast_model,38,0.0005828367379893149,0.0003437514048224936,0.00032273627584800124
forecast_model,39,0.0005566595870602343,0.0002833878469472337,0.00032273627584800124
forecast_model,40,0.0005343446907188211,0.00033310562786128785,0.0002833878469472337
forecast_model,41,0.0005329268909658173,0.0002883451605965901,0.0002833878469472337
forecast_model,42,0.0005166279226874134,0.0002730796792699645,0.0002833878469472337
forecast_model,43,0.0005209919306383069,0.0002786927668946899,0.0002730796792699645
forecast_model,44,0.0005059829763402896,0.0002887728235994776,0.0002730796792699645
forecast_model,45,0.0005140014566547636,0.00027901349272320256,0.0002730796792699645
forecast_model,46,0.0004702937373492335,0.00027913796172166866,0.0002730796792699645
forecast_model,47,0.000471764977555722,0.00024113654863968905,0.0002730796792699645
forecast_model,48,0.0004570975625288806,0.00023249728029542085,0.00024113654863968905
forecast_model,49,0.0004600751288567803,0.00023118460052905398,0.00023249728029542085
forecast_model,50,0.00046482743845055143,0.0002575324469944462,0.00023118460052905398
forecast_model,51,0.0004665301264529782,0.0002659304494348665,0.00023118460052905398
forecast_model,52,0.000437404474775706,0.00021272345232622078,0.00023118460052905398
forecast_model,53,0.0004307622996358467,0.00021966483877299147,0.00021272345232622078
forecast_model,54,0.0004235394498599427,0.0002051452659846594,0.00021272345232622078
forecast_model,55,0.0004104048853540527,0.0002411322703766119,0.0002051452659846594
forecast_model,56,0.00041638223587402276,0.00020557045354507864,0.0002051452659846594
forecast_model,57,0.0003835915355011821,0.00020390185333477953,0.0002051452659846594
forecast_model,58,0.000385258745102744,0.00017728754351588173,0.00020390185333477953
forecast_model,59,0.0003801504898417209,0.00019274461697528345,0.00017728754351588173
forecast_model,60,0.0003989382738447083,0.0001886796235339716,0.00017728754351588173
forecast_model,61,0.0003770777805974441,0.0001826676145558142,0.00017728754351588173
forecast_model,62,0.0003677479598471629,0.00021201575711731694,0.00017728754351588173
forecast_model,63,0.00037377676427630444,0.00018942393944598734,0.00017728754351588173
forecast_model,64,0.0003742770865626101,0.00020177719610122344,0.00017728754351588173
forecast_model,65,0.00036601525581707913,0.0001887862971569929,0.00017728754351588173
forecast_model,66,0.0003670243064074644,0.000164828169444162,0.00017728754351588173
forecast_model,67,0.0003680661728139967,0.00019019914422339448,0.000164828169444162
forecast_model,68,0.00037563287187367676,0.0001828229950559843,0.000164828169444162
forecast_model,69,0.00036221911182760127,0.00016036691441614594,0.000164828169444162
forecast_model,70,0.00034845402031870824,0.00018332139330191744,0.00016036691441614594
forecast_model,71,0.00036817023647017777,0.0001818169936692963,0.00016036691441614594
forecast_model,72,0.0003551651615582939,0.0001595310305775557,0.00016036691441614594
forecast_model,73,0.000367634160543925,0.00017736769223120064,0.0001595310305775557
forecast_model,74,0.00034205574899845355,0.00017891874853780286,0.0001595310305775557
forecast_model,75,0.0004109130640115057,0.00023011997756030824,0.0001595310305775557
forecast_model,76,0.00040001939217160855,0.0001826485111248783,0.0001595310305775557
forecast_model,77,0.00037593720397645873,0.00018290484957914386,0.0001595310305775557
forecast_model,78,0.0003970295448587941,0.0001714298446636854,0.0001595310305775557
forecast_model,79,0.00041198366504561687,0.00019936636575342467,0.0001595310305775557
forecast_model,80,0.00039271098711261794,0.00018743751085518548,0.0001595310305775557
forecast_model,81,0.0003716560987023903,0.0001590454444845414,0.0001595310305775557
forecast_model,82,0.00036212642028528666,0.00018165736239300005,0.0001590454444845414
forecast_model,83,0.00037655584996433133,0.0001705642918952637,0.0001590454444845414
forecast_model,84,0.0003771342794477407,0.00017248664355267666,0.0001590454444845414
forecast_model,85,0.0003572859585152141,0.0001887605499683155,0.0001590454444845414
forecast_model,86,0.00036072936324801826,0.000182595008583222,0.0001590454444845414
forecast_model,87,0.0003714114951435477,0.00016230071196332574,0.0001590454444845414
forecast_model,88,0.0003585369883304728,0.00015075916356484717,0.0001590454444845414
forecast_model,89,0.0003554070692708982,0.00017596544542660317,0.00015075916356484717
forecast_model,90,0.00034591123112477363,0.0001514111524253773,0.00015075916356484717
forecast_model,91,0.0003380033021260585,0.0001680035986484856,0.00015075916356484717
forecast_model,92,0.0003498937776644847,0.0001641415745123393,0.00015075916356484717
forecast_model,93,0.00034738785637143465,0.00015474023530259728,0.00015075916356484717
forecast_model,94,0.0003401842417328485,0.00017602878587139357,0.00015075916356484717
forecast_model,95,0.00036343471396581403,0.00015425122627574537,0.00015075916356484717
forecast_model,96,0.0003221864870283753,0.00014927822161957415,0.00015075916356484717
forecast_model,97,0.0003385692984530968,0.0001454034483888083,0.00014927822161957415
forecast_model,98,0.0003530336627071457,0.00014175400752315504,0.0001454034483888083
forecast_model,99,0.000328077601235626,0.00014653401255297163,0.00014175400752315504
forecast_model,100,0.00033927903028338084,0.0001623882659866164,0.00014175400752315504
forecast_model,101,0.0003620352754036763,0.0001459298412858819,0.00014175400752315504
forecast_model,102,0.0003568378069238471,0.0001573159606778063,0.00014175400752315504
forecast_model,103,0.00035564559262378937,0.0001719334403686743,0.00014175400752315504
forecast_model,104,0.0003617967861438436,0.00019223870023981563,0.00014175400752315504
forecast_model,105,0.0003649281221441925,0.00018745185419296226,0.00014175400752315504
forecast_model,106,0.00038940155562678617,0.00019070251275681786,0.00014175400752315504
forecast_model,107,0.00038458961810517524,0.00019118559430353343,0.00014175400752315504
forecast_model,108,0.00038384088381592717,0.0001777631308262547,0.00014175400752315504
forecast_model,109,0.00039772190752306155,0.00017189630792321017,0.00014175400752315504
forecast_model,110,0.00038708027984414784,0.00019545183749869466,0.00014175400752315504
forecast_model,111,0.0004021787999330887,0.0001795521804726579,0.00014175400752315504
forecast_model,112,0.00040718133178805667,0.0001898991839779127,0.00014175400752315504
forecast_model,113,0.0004073644372900682,0.00018631391059089865,0.00014175400752315504
